CH Vial Labes,Vial_label,Sample_name,estimated d2H [permil] sample (undiluted),estimated F2H [ppm] sample (undiluted),Amount of sample (ÂµL),Standard used for dilution...7,Estimated d2H Standard,estimate F2H [ppm] dilutant,Amount of Standard (mL),estimated F2H [ppm] sample (diluted),estimated d2H [permil] sample (diluted),Ampule of X. Feng's standard used,Empty tube (g),...15,Tube + sample (g),Tube + sample + std (g),Actual amount of standard (g),Actual amount of sample (g),Notes,Sample ID,Analysis Number,RunDate,dD_SMOW,d 2H/1H Standard Deviation,Comment_SA,Comment,Standard used for dilution...28,dD of std,mass fraction sample,mass fraction standard,dD_SMOW_corr,F_label_ppm,inc_time_d,soil
CU-01,c0F0x,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.261400000000002,35.438000000000002,35.656799999999997,235.8,203.31980000000001,0.21879999999999455,NA,WL-CU-01,56565,2021-11-19T00:00:00Z,-30.037271914209676,0.104,NA,NA,MQ H2O Standard,-59.585999999999999,1.0749803722733405E-3,0.99892501962772662,27428.104796903983,4408.5623602536125,0,Conifer
CU-02,c0F0y,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.172699999999999,35.052900000000001,35.261299999999999,219.3,186.9189,0.20839999999999748,NA,WL-CU-02,56566,2021-11-19T00:00:00Z,-27.491737064855034,0.144,NA,NA,MQ H2O Standard,-59.585999999999999,1.1136803662533338E-3,0.99888631963374663,28758.613465181501,4613.942451378342,0,Conifer
CU-03,c0F0z,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.171799999999998,35.226599999999998,35.4377,232,199.6171,0.21110000000000184,NA,WL-CU-03,56567,2021-11-19T00:00:00Z,-30.961222638819272,0.08,NA,NA,MQ H2O Standard,-59.585999999999999,1.0564074540029978E-3,0.99894359254599696,27036.755712389597,4348.136768297307,0,Conifer
CU-04,c0F3x,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.146500000000003,34.932899999999997,35.134999999999998,243.7,211.35139999999998,0.2021000000000015,NA,WL-CU-04,56568,2021-11-20T00:00:00Z,-33.124147321485765,0.042,NA,NA,MQ H2O Standard,-59.585999999999999,9.5531390404791938E-4,0.99904468609595209,27640.055517189601,4441.285190230146,3,Conifer
CU-05,c0F3y,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.091500000000003,35.2423,35.451300000000003,252.8,220.4995,0.20900000000000318,NA,WL-CU-05,56569,2021-11-20T00:00:00Z,-33.339784054944545,0.258,NA,NA,MQ H2O Standard,-59.585999999999999,9.4695038931442684E-4,0.99905304961068553,27656.983147890827,4443.898535070444,3,Conifer
CU-06,c0F3z,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.309399999999997,35.438299999999998,35.644300000000001,246.7,214.1846,0.20600000000000307,NA,WL-CU-06,56570,2021-11-20T00:00:00Z,-32.72450480652418,0.221,NA,NA,MQ H2O Standard,-59.585999999999999,9.6086302291239947E-4,0.99903913697708757,27896.006579739373,4480.798315751409,3,Conifer
CU-07,c0F7x,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.312199999999997,35.231299999999997,35.439799999999998,257.7,225.1793,0.2085000000000008,NA,WL-CU-07,56571,2021-11-20T00:00:00Z,-34.021855210234975,0.091,NA,NA,MQ H2O Standard,-59.585999999999999,9.2507225324529885E-4,0.99907492774675466,27575.168690870883,4431.267615581762,7,Conifer
CU-08,c0F7y,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.306600000000003,35.765099999999997,35.973700000000001,236.1,203.58479999999997,0.20860000000000412,NA,WL-CU-08,56572,2021-11-20T00:00:00Z,-35.983275888525895,0.193,NA,NA,MQ H2O Standard,-59.585999999999999,1.0235856509582949E-3,0.99897641434904172,22999.279752345115,3724.308684907275,7,Conifer
CU-09,c0F7z,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.294899999999998,36.037300000000002,36.247,236.1,203.5954,0.209699999999998,NA,WL-CU-09,56573,2021-11-20T00:00:00Z,-31.505467015430835,0.212,NA,NA,MQ H2O Standard,-59.585999999999999,1.0289242025837331E-3,0.99897107579741629,27231.572001780984,4378.2179640063905,7,Conifer
CU-10,t0F0x,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.108400000000003,34.940800000000003,35.146000000000001,233,200.6864,0.20519999999999783,NA,WL-CU-10,56574,2021-11-20T00:00:00Z,-37.74218286687398,0.09,NA,NA,MQ H2O Standard,-59.585999999999999,1.0214463919845222E-3,0.99897855360801546,21325.596134411036,3465.47954192842,0,Tundra
CU-11,t0F0y,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.225499999999997,35.351399999999998,35.555,232.3,199.8709,0.20360000000000156,NA,WL-CU-11,56581,2021-11-20T00:00:00Z,-37.50087257278427,0.287,NA,NA,MQ H2O Standard,-59.585999999999999,1.0176209362012729E-3,0.99898237906379872,21643.119439275244,3514.593713625735,0,Tundra
CU-12,t0F0z,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.272500000000001,35.258299999999998,35.467300000000002,234.5,202.01850000000002,0.20900000000000318,NA,WL-CU-12,56582,2021-11-20T00:00:00Z,-37.51494699715449,0.22,NA,NA,MQ H2O Standard,-59.585999999999999,1.0334895105759759E-3,0.99896651048942398,21296.269842741018,3460.9431376718107,0,Tundra
CU-13,t0F3x,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.188499999999998,35.3247,35.531500000000001,236.5,204.1047,0.2068000000000012,NA,WL-CU-13,56583,2021-11-20T00:00:00Z,-38.18853728427651,0.124,NA,NA,MQ H2O Standard,-59.585999999999999,1.0121799311345724E-3,0.99898782006886544,21080.393224581796,3427.548499995756,3,Tundra
CU-14,t0F3y,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.334699999999998,35.283200000000001,35.488799999999998,254.6,222.0597,0.2055999999999969,NA,WL-CU-14,56584,2021-11-20T00:00:00Z,-39.76548642433281,0.125,NA,NA,MQ H2O Standard,-59.585999999999999,9.2502068474024912E-4,0.99907497931525979,21367.517093627466,3471.9641093203254,3,Tundra
CU-15,t0F3z,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.330500000000001,35.019300000000001,35.223999999999997,236.2,203.6648,0.20469999999999544,NA,WL-CU-15,56585,2021-11-20T00:00:00Z,-38.04546506092807,0.035,NA,NA,MQ H2O Standard,-59.585999999999999,1.004073684391218E-3,0.99899592631560874,21393.55561094881,3475.9918496762575,3,Tundra
CU-16,t0F7x,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.295900000000003,35.305999999999997,35.509900000000002,241.6,209.1002,0.2039000000000044,NA,WL-CU-16,56586,2021-11-20T00:00:00Z,-38.123520541822565,0.153,NA,NA,MQ H2O Standard,-59.585999999999999,9.7418063000201339E-4,0.99902581936999801,21971.728108691608,3565.417460489021,7,Tundra
CU-17,t0F7y,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.181600000000003,35.058300000000003,35.266599999999997,241.4,209.0101,0.20829999999999416,NA,WL-CU-17,56587,2021-11-20T00:00:00Z,-37.97279319768043,0.124,NA,NA,MQ H2O Standard,-59.585999999999999,9.9561032872822939E-4,0.99900438967127181,21648.913981039568,3515.4899622871553,7,Tundra
CU-18,t0F7z,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.219200000000001,35.239400000000003,35.445,235.2,202.77519999999998,0.2055999999999969,NA,WL-CU-18,56588,2021-11-20T00:00:00Z,-37.454222633651824,0.149,NA,NA,MQ H2O Standard,-59.585999999999999,1.0129036835010844E-3,0.99898709631649896,21790.248023556971,3537.349767408081,7,Tundra
CU-19,g0F0x,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.194899999999997,35.293199999999999,35.500300000000003,235.1,202.69799999999998,0.20710000000000406,NA,WL-CU-19,56589,2021-11-20T00:00:00Z,-31.31639943854112,0.267,NA,NA,MQ H2O Standard,-59.585999999999999,1.0206741969521914E-3,0.99897932580304782,27637.401585141273,4440.875465986517,0,Grassland
CU-20,g0F0y,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.337400000000002,36.333599999999997,36.537700000000001,241.6,209.05849999999998,0.20410000000000394,NA,WL-CU-20,56590,2021-11-20T00:00:00Z,-32.149025936297974,0.154,NA,NA,MQ H2O Standard,-59.585999999999999,9.7532956199533009E-4,0.99902467043800469,28071.391602659183,4507.8720338679295,0,Grassland
CU-21,g0F0z,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.219099999999997,35.091000000000001,35.295299999999997,234,201.5766,0.20429999999999637,NA,WL-CU-21,56595,2021-11-20T00:00:00Z,-30.548170665447202,0.104,NA,NA,MQ H2O Standard,-59.585999999999999,1.012484333254517E-3,0.99898751566674548,28620.1953860625,4592.579897411757,0,Grassland
CU-22,g0F3x,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.312199999999997,36.675899999999999,36.882300000000001,233.9,201.38139999999999,0.20640000000000214,NA,WL-CU-22,56596,2021-11-20T00:00:00Z,-31.04865870188083,0.107,NA,NA,MQ H2O Standard,-59.585999999999999,1.0238714842862621E-3,0.99897612851571371,27812.409397950232,4467.893123558371,3,Grassland
CU-23,g0F3y,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.2318,34.905999999999999,35.109699999999997,233.3,200.86450000000002,0.20369999999999777,NA,WL-CU-23,56597,2021-11-20T00:00:00Z,-31.187482817064033,0.133,NA,NA,MQ H2O Standard,-59.585999999999999,1.0130890911640815E-3,0.99898691090883596,27972.022898586489,4492.532932915187,3,Grassland
CU-24,g0F3z,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.280500000000004,35.315300000000001,35.514800000000001,255.9,223.42,0.19950000000000045,NA,WL-CU-24,56598,2021-11-20T00:00:00Z,-34.590842546921586,0.318,NA,NA,MQ H2O Standard,-59.585999999999999,8.9214044392372073E-4,0.99910785955607628,27957.479724705037,4490.287928767917,3,Grassland
CU-25,g0F7x,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,202,151.1966742800093,-29.177172360630998,MQ H2O Standard,32.336300000000001,35.401200000000003,35.6081,246.3,213.7568,0.20689999999999742,NA,WL-CU-25,56599,2021-11-20T00:00:00Z,-32.836470081873834,0.227,NA,NA,MQ H2O Standard,-59.585999999999999,9.6698645611380544E-4,0.99903301354388618,27603.190194021474,4435.593749563865,7,Grassland
CU-26,g0F7y,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.288699999999999,34.998399999999997,35.2042,235.5,203.00549999999998,0.20580000000000354,NA,WL-CU-26,56600,2021-11-20T00:00:00Z,-31.58253651839769,0.151,NA,NA,MQ H2O Standard,-59.585999999999999,1.0127389569379436E-3,0.99898726104306201,27591.629833813571,4433.8089937922805,7,Grassland
CU-27,g0F7z,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.410299999999999,35.552999999999997,35.758499999999998,237.1,204.4842,0.20550000000000068,NA,WL-CU-27,56601,2021-11-20T00:00:00Z,-31.439910323037793,0.223,NA,NA,MQ H2O Standard,-59.585999999999999,1.0039586750090538E-3,0.99899604132499098,27975.521796352656,4493.073050092086,7,Grassland
CU-28,cr0F0x,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.332500000000003,35.441299999999998,35.647300000000001,256.5,223.9615,0.20600000000000307,NA,WL-CU-28,56602,2021-11-20T00:00:00Z,-32.30856230973452,0.154,NA,NA,MQ H2O Standard,-59.585999999999999,9.1895569161454293E-4,0.9990810443083854,29623.496589478134,4747.402175885289,0,Crust
CU-29,cr0F0y,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.192799999999998,35.255299999999998,35.460299999999997,230.1,197.7022,0.2049999999999983,NA,WL-CU-29,56603,2021-11-20T00:00:00Z,-28.38153521588271,0.203,NA,NA,MQ H2O Standard,-59.585999999999999,1.03583901950004E-3,0.9989641609805,30065.234745967358,4815.552785062804,0,Crust
CU-30,cr0F0z,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.270099999999999,35.087899999999998,35.2943,234.4,201.92350000000002,0.20640000000000214,NA,WL-CU-30,56604,2021-11-20T00:00:00Z,-29.098004846337496,0.079,NA,NA,MQ H2O Standard,-59.585999999999999,1.0211255237349947E-3,0.99897887447626499,29797.65921128984,4774.272802596946,0,Crust
CU-31,cr0F3x,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.231400000000001,35.035600000000002,35.216000000000001,252.9,220.4882,0.18039999999999878,NA,WL-CU-31,56640,2021-11-21T00:00:00Z,-34.667856761570256,0.218,NA,NA,MQ H2O Standard,-59.585999999999999,8.1751549608779313E-4,0.99918248450391223,30420.745391484452,4870.393582993511,3,Crust
CU-32,cr0F3y,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.222799999999999,35.408299999999997,35.614699999999999,250.1,217.67079999999999,0.20640000000000214,NA,WL-CU-32,56645,2021-11-21T00:00:00Z,-31.15828595597957,0.108,NA,NA,MQ H2O Standard,-59.585999999999999,9.4732262026500321E-4,0.99905267737973502,29948.896259262518,4797.605187174585,3,Crust
CU-33,cr0F3z,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.270699999999998,35.241100000000003,35.445399999999999,243.9,211.425,0.20429999999999637,NA,WL-CU-33,56646,2021-11-21T00:00:00Z,-30.643976995645122,0.141,NA,NA,MQ H2O Standard,-59.585999999999999,9.6536727192310509E-4,0.99903463272807691,29920.737392049086,4793.261007011407,3,Crust
CU-34,cr0F7x,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.200099999999999,36.356400000000001,36.5565,251.4,218.9998,0.20009999999999906,NA,WL-CU-34,56647,2021-11-21T00:00:00Z,-31.460949992681197,0.08,NA,NA,MQ H2O Standard,-59.585999999999999,9.1286537995682968E-4,0.99908713462004317,30750.049927532778,4921.186454721056,7,Crust
CU-35,cr0F7y,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.262,35.249200000000002,35.450000000000003,230.2,197.7372,0.20080000000000098,NA,WL-CU-35,56648,2021-11-21T00:00:00Z,-27.903396284029427,0.15,NA,NA,MQ H2O Standard,-59.585999999999999,1.0144590730430791E-3,0.99898554092695691,31171.445943883227,4986.176216876781,7,Crust
CU-36,cr0F7z,TAC: enriched soil water (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.376300000000001,35.460999999999999,35.6661,235.6,203.0186,0.20510000000000161,NA,WL-CU-36,56649,2021-11-21T00:00:00Z,-29.018857205051287,0.233,NA,NA,MQ H2O Standard,-59.585999999999999,1.0092326829990873E-3,0.99899076731700087,30227.921836264111,4840.649520222369,7,Crust
CU-37,Soil Label,TAC: enriched isotope label (~0.5% 2H),31253.7,4998.8608509517935,200,MQ H2O,-60,146.39700677835404,200,151.24462300629955,-28.869250511687984,MQ H2O Standard,32.140700000000002,35.457799999999999,35.658900000000003,245,212.65819999999997,0.20110000000000383,NA,WL-CU-37,56650,2021-11-21T00:00:00Z,-29.90468488755293,0.153,NA,NA,MQ H2O Standard,-59.585999999999999,9.4475552630307374E-4,0.99905524447369698,31357.340692763719,5014.843119175611,NA,NA
