id1,control,inc_time,with_glu,compound,d2H,rel_amount,d2H_normal,f0,fl,a
MBX_FAMES,FALSE,1,FALSE,i-15:0,147.1798246,0.015284658,0,147.1798246,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,a-15:0,49.29897048,0.017561656,0,49.29897048,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,i-16:0,165.011229,0.011599186,0,165.011229,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C16:1 trans,-75.31654252,0.020607317,0,-75.31654252,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C16:1 cis,-157.3025122,0.063268375,0,-157.3025122,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C16:0,-35.64189138,0.093400248,0,-35.64189138,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C17:0 -me,-113.8562413,0.01538181,0,-113.8562413,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,cyc-17,-50.57362422,0.008664419,0,-50.57362422,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C18:2,-82.54430803,0.01054292,0,-82.54430803,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C18:1 cis,-70.27820721,0.045726615,0,-70.27820721,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C18:1 trans,-24.15439738,0.034336216,0,-24.15439738,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C18:0,165.450179,0.021195923,0,165.450179,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C18:0 -me,-50.59738062,0.019684266,0,-50.59738062,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,cyc-19,-94.28015484,0.030427606,0,-94.28015484,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C20:0,-106.5243655,0.01487752,0,-106.5243655,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C22:0,-126.5684348,0.026251428,0,-126.5684348,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C23:0 (IS),-90.39719913,0.006152687,0,-90.39719913,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,alkane,-149.3821345,0.016072837,0,-149.3821345,0.005,0.5
MBX_FAMES,FALSE,1,FALSE,C24:0,-154.0058184,0.025278295,0,-154.0058184,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,i-15:0,242.815805,0.012191474,95.63598035,147.1798246,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,a-15:0,129.2599663,0.013699919,79.96099583,49.29897048,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,i-16:0,285.4342899,0.009792188,120.4230609,165.011229,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C16:1 trans,-31.56187516,0.018161063,43.75466736,-75.31654252,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C16:1 cis,-141.2121588,0.055609352,16.09035332,-157.3025122,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C16:0,41.94207306,0.081597965,77.58396444,-35.64189138,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C17:0 -me,-67.01502955,0.011511303,46.84121173,-113.8562413,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,cyc-17,20.52683717,0.013389923,71.10046138,-50.57362422,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C18:2,-67.81622865,0.014293624,14.72807939,-82.54430803,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C18:1 cis,-35.3434562,0.044460342,34.934751,-70.27820721,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C18:1 trans,38.00727991,0.030254771,62.16167728,-24.15439738,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C18:0,240.8946242,0.020042695,75.4444452,165.450179,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C18:0 -me,-42.64966149,0.013097258,7.947719127,-50.59738062,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,cyc-19,-86.40604652,0.024724603,7.874108319,-94.28015484,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C20:0,-79.42757001,0.013541799,27.09679553,-106.5243655,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C22:0,-116.1657987,0.020121206,10.40263608,-126.5684348,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C23:0 (IS),-80.86228621,0.006802325,9.534912918,-90.39719913,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,alkane,-140.1483794,0.01545069,9.23375506,-149.3821345,0.005,0.5
MCX_FAMES,FALSE,6,FALSE,C24:0,-148.5625326,0.021896329,5.443285876,-154.0058184,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,i-15:0,396.7745075,0.018355635,249.5946829,147.1798246,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,a-15:0,227.9972559,0.020438958,178.6982854,49.29897048,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,i-16:0,273.4401511,0.012204876,108.4289221,165.011229,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C16:1 trans,258.5568954,0.025904514,333.8734379,-75.31654252,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C16:1 cis,-105.7949174,0.075008609,51.50759474,-157.3025122,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C16:0,211.9836672,0.093252627,247.6255586,-35.64189138,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C17:0 -me,-6.477385182,0.012954695,107.3788561,-113.8562413,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,cyc-17,147.6284627,0.01309359,198.202087,-50.57362422,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C18:2,-12.49861313,0.014770266,70.0456949,-82.54430803,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C18:1 cis,-12.00952858,0.043567325,58.26867862,-70.27820721,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C18:1 trans,130.2047423,0.035560986,154.3591397,-24.15439738,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C18:0,332.5283811,0.019321167,167.0782021,165.450179,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C18:0 -me,6.511014881,0.012134847,57.1083955,-50.59738062,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,cyc-19,-54.33273146,0.024302902,39.94742337,-94.28015484,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C20:0,-45.69809807,0.012103541,60.82626747,-106.5243655,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C22:0,-102.3054885,0.022583573,24.26294627,-126.5684348,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C23:0 (IS),-10.23188644,0.005681648,80.16531269,-90.39719913,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,alkane,-126.863898,0.01294311,22.51823648,-149.3821345,0.005,0.5
MDX_FAMES,FALSE,50,FALSE,C24:0,-128.6161644,0.02009953,25.38965407,-154.0058184,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,i-15:0,-33.22314956,0.010088493,-180.4029742,147.1798246,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,a-15:0,-81.23972064,0.011373807,-130.5386911,49.29897048,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,i-16:0,-41.27026718,0.008455902,-206.2814962,165.011229,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,C16:1 trans,-124.1406289,0.027461405,-48.82408641,-75.31654252,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,C16:1 cis,-169.1630482,0.090589343,-11.86053603,-157.3025122,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,C16:0,-139.6976703,0.077245874,-104.0557789,-35.64189138,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,C17:0 -me,-123.54553,0.011161279,-9.689288726,-113.8562413,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,cyc-17,-99.66745251,0.012613891,-49.09382829,-50.57362422,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,C18:2,-123.4957747,0.031933465,-40.95146667,-82.54430803,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,C18:1 cis,-110.6604818,0.06792527,-40.38227455,-70.27820721,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,C18:1 trans,-150.6540337,0.044450983,-126.4996363,-24.15439738,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,C18:0,-112.1393653,0.018707022,-277.5895442,165.450179,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,C18:0 -me,-85.65090037,0.014506571,-35.05351975,-50.59738062,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,cyc-19,-106.0474174,0.024453027,-11.76726253,-94.28015484,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,C20:0,-125.8704042,0.014307518,-19.34603862,-106.5243655,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,C22:0,-142.7048483,0.026602609,-16.13641353,-126.5684348,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,C23:0 (IS),-86.70197643,0.007913496,3.695222694,-90.39719913,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,alkane,-143.0499197,0.015731898,6.332214821,-149.3821345,0.005,0.5
MNE6X_FAMES,TRUE,50,FALSE,C24:0,-162.7689824,0.027273303,-8.763163992,-154.0058184,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,i-15:0,40.19350993,0.012913068,0,40.19350993,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,a-15:0,-19.91383949,0.015286568,0,-19.91383949,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,i-16:0,45.9791261,0.010550803,0,45.9791261,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,C16:1 trans,-106.725148,0.024933324,0,-106.725148,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,C16:1 cis,-160.7042953,0.076224503,0,-160.7042953,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,C16:0,-67.831604,0.087646409,0,-67.831604,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,C17:0 -me,-79.01419981,0.012522132,0,-79.01419981,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,cyc-17,-49.04347406,0.013441348,0,-49.04347406,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,C18:2,-110.6201409,0.023486087,0,-110.6201409,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,C18:1 cis,-89.95615137,0.056066398,0,-89.95615137,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,C18:1 trans,-80.62029311,0.041917133,0,-80.62029311,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,C18:0,39.33759743,0.022947504,0,39.33759743,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,C18:0 -me,-60.73242871,0.013478215,0,-60.73242871,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,cyc-19,-103.9217198,0.028485804,0,-103.9217198,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,C20:0,-105.4627128,0.014246474,0,-105.4627128,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,C22:0,-134.6594237,0.023985899,0,-134.6594237,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,C23:0 (IS),-89.66805334,0.008412923,0,-89.66805334,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,alkane,-145.1681923,0.016084857,0,-145.1681923,0.005,0.5
MBW_FAMES,FALSE,1,TRUE,C24:0,-152.8627833,0.026001379,0,-152.8627833,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,i-15:0,133.1781182,0.01617435,92.98460828,40.19350993,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,a-15:0,80.11293419,0.019029077,100.0267737,-19.91383949,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,i-16:0,145.9142545,0.011322573,99.93512844,45.9791261,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,C16:1 trans,-34.23705958,0.020437161,72.48808847,-106.725148,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,C16:1 cis,-141.6112279,0.075937566,19.09306743,-160.7042953,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,C16:0,43.11781858,0.098088199,110.9494226,-67.831604,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,C17:0 -me,-54.06033992,0.013581224,24.95385989,-79.01419981,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,cyc-17,5.483300833,0.013816859,54.5267749,-49.04347406,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,C18:2,-62.14716918,0.023084307,48.47297175,-110.6201409,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,C18:1 cis,-27.8488946,0.055885776,62.10725677,-89.95615137,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,C18:1 trans,-9.844185555,0.045273193,70.77610755,-80.62029311,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,C18:0,275.5968684,0.018735051,236.259271,39.33759743,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,C18:0 -me,-37.19544367,0.012805102,23.53698503,-60.73242871,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,cyc-19,-88.19341426,0.029055347,15.72830554,-103.9217198,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,C20:0,-72.14443015,0.013856147,33.31828266,-105.4627128,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,C22:0,-110.5228587,0.032344897,24.13656497,-134.6594237,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,C23:0 (IS),-81.96141,0.014394949,7.706643343,-89.66805334,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,alkane,-140.3671922,0.014992719,4.801000096,-145.1681923,0.005,0.5
MCW_FAMES,FALSE,6,TRUE,C24:0,-148.1855935,0.029101986,4.677189843,-152.8627833,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,i-15:0,612.089816,0.014602727,571.8963061,40.19350993,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,a-15:0,1016.619515,0.01701029,1036.533355,-19.91383949,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,i-16:0,838.7332885,0.010524333,792.7541624,45.9791261,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,C16:1 trans,2062.141255,0.020501031,2168.866403,-106.725148,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,C16:1 cis,77.2514784,0.051267062,237.9557738,-160.7042953,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,C16:0,1960.263086,0.087921659,2028.09469,-67.831604,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,C17:0 -me,786.5804962,0.013479081,865.594696,-79.01419981,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,cyc-17,1336.395395,0.01269654,1385.438869,-49.04347406,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,C18:2,660.6725664,0.01344853,771.2927074,-110.6201409,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,C18:1 cis,759.152221,0.048742121,849.1083723,-89.95615137,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,C18:1 trans,609.9170415,0.03047766,690.5373346,-80.62029311,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,C18:0,1709.921302,0.021892803,1670.583704,39.33759743,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,C18:0 -me,185.5420222,0.013388358,246.2744509,-60.73242871,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,cyc-19,115.69781,0.025752128,219.6195298,-103.9217198,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,C20:0,221.1177117,0.013103271,326.5804246,-105.4627128,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,C22:0,-14.10670968,0.024533178,120.552714,-134.6594237,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,C23:0 (IS),47.34234332,0.006075328,137.0103967,-89.66805334,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,alkane,-80.08191956,0.015331432,65.08627277,-145.1681923,0.005,0.5
MDW_FAMES,FALSE,50,TRUE,C24:0,-76.46659219,0.021965605,76.39619113,-152.8627833,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,i-15:0,-28.76001673,0.008760795,-68.95352666,40.19350993,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,a-15:0,-75.46058768,0.010341208,-55.54674819,-19.91383949,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,i-16:0,-32.81043466,0.007792716,-78.78956076,45.9791261,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,C16:1 trans,-118.0553071,0.02173429,-11.33015904,-106.725148,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,C16:1 cis,-163.1326134,0.066938544,-2.428318044,-160.7042953,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,C16:0,-129.2962466,0.070125805,-61.46464263,-67.831604,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,C17:0 -me,-84.70205109,0.008156784,-5.687851279,-79.01419981,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,cyc-17,-50.6204468,0.007707864,-1.576972733,-49.04347406,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,C18:2,-105.1048938,0.075499435,5.515247104,-110.6201409,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,C18:1 cis,-108.270825,0.050482128,-18.31467362,-89.95615137,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,C18:1 trans,-108.270825,0.050482128,-27.65053189,-80.62029311,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,C18:0,-72.45978667,0.018138215,-111.7973841,39.33759743,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,C18:0 -me,-65.42642947,0.011127053,-4.694000761,-60.73242871,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,cyc-19,-105.2859972,0.022085705,-1.364277426,-103.9217198,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,C20:0,-114.9891047,0.015341231,-9.52639186,-105.4627128,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,C22:0,-131.2832253,0.025230483,3.376198365,-134.6594237,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,C23:0 (IS),-69.64363344,0.005556767,20.0244199,-89.66805334,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,alkane,-134.0785416,0.013615447,11.08965068,-145.1681923,0.005,0.5
MVE6W_FAMES,TRUE,50,TRUE,C24:0,-153.591619,0.023179849,-0.728835668,-152.8627833,0.005,0.5